0  ,26.25  ,0.00
4344  ,26.50  ,0.04
4593  ,25.75  ,0.04
4842  ,26.00  ,0.13
5092  ,26.25  ,0.20
5341  ,26.00  ,0.29
5590  ,25.75  ,0.33
5838  ,25.75  ,0.29
6090  ,26.50  ,0.20
6339  ,26.00  ,0.13
6589  ,26.25  ,0.09
6838  ,26.00  ,0.03
7087  ,26.00  ,-0.04
7335  ,25.75  ,-0.03
7585  ,26.25  ,0.06
7834  ,26.50  ,0.81
8083  ,26.00  ,1.02
8332  ,26.00  ,0.96
8582  ,25.50  ,0.92
8830  ,26.25  ,0.92
9079  ,26.50  ,0.96
9328  ,26.25  ,0.98
9578  ,26.00  ,0.90
9827  ,26.75  ,0.83
10076  ,26.25  ,0.81
10328  ,26.50  ,0.81
10577  ,26.25  ,0.85
10826  ,26.25  ,0.88
11075  ,26.00  ,0.89
11325  ,26.00  ,0.88
11574  ,26.25  ,0.93
11824  ,26.50  ,0.92
12072  ,26.50  ,0.09
12322  ,25.75  ,-0.21
12571  ,26.25  ,-0.22
12821  ,26.00  ,-0.22
13070  ,25.75  ,-0.22
13319  ,26.00  ,-0.27
13569  ,26.50  ,-0.29
13817  ,26.50  ,-0.33
14067  ,26.25  ,-0.37
14316  ,26.25  ,-0.36
14566  ,26.00  ,-0.36
14815  ,26.50  ,-0.39
15064  ,26.25  ,-0.43
15313  ,26.00  ,-0.45
15562  ,26.25  ,-0.49
15812  ,26.25  ,-0.52
16064  ,26.50  ,-0.56
16313  ,25.75  ,-0.57
16563  ,26.25  ,-0.59
16812  ,25.75  ,-0.62
17061  ,26.00  ,-0.64
17310  ,26.00  ,-0.68
17560  ,26.50  ,-0.71
17809  ,25.75  ,-0.75
18058  ,26.00  ,-0.81
18308  ,26.50  ,-0.82
18556  ,25.50  ,-0.86
18806  ,26.00  ,-0.92
19055  ,26.25  ,-0.98
19305  ,26.00  ,-1.04
19554  ,26.25  ,-1.07
19803  ,26.00  ,-1.13
20052  ,26.00  ,-1.19
20301  ,26.25  ,-1.18
20551  ,26.25  ,-1.24
20800  ,26.25  ,-1.30
21050  ,26.50  ,-1.36
21299  ,26.00  ,-1.40
21551  ,26.00  ,-1.46
21800  ,26.00  ,-1.49
22049  ,26.25  ,-1.51
22299  ,26.00  ,-1.51
22548  ,26.25  ,-1.51
22797  ,26.25  ,-1.55
23047  ,26.00  ,-1.57
23296  ,26.25  ,-1.58
23545  ,26.00  ,-1.57
23794  ,26.00  ,-1.56
24044  ,26.00  ,-1.59
24293  ,26.25  ,-1.58
24543  ,26.25  ,-1.57
24792  ,26.50  ,-1.58
25040  ,26.25  ,-1.58
25290  ,26.25  ,-1.57
25539  ,26.50  ,-1.56
25789  ,25.75  ,-1.57
26038  ,26.00  ,-1.57
26288  ,26.25  ,-1.58
26536  ,26.00  ,-1.61
26785  ,26.25  ,-1.63
27038  ,25.75  ,-1.66
27287  ,26.00  ,-1.67
27537  ,26.25  ,-1.69
27786  ,26.25  ,-1.70
28036  ,26.00  ,-1.73
28284  ,26.25  ,-1.75
28533  ,26.50  ,-1.78
28783  ,25.75  ,-1.81
29032  ,26.25  ,-1.84
29282  ,26.25  ,-1.87
29531  ,25.75  ,-1.91
29780  ,26.00  ,-1.95
30029  ,26.25  ,-2.00
30278  ,25.75  ,-2.03
30528  ,26.25  ,-2.07
30777  ,25.75  ,-2.10
31027  ,26.25  ,-2.15
31276  ,26.50  ,-2.19
31525  ,26.50  ,-2.23
31774  ,26.00  ,-2.27
32024  ,25.50  ,-2.31
32273  ,26.25  ,-2.35
32525  ,26.25  ,-2.40
32775  ,26.00  ,-2.43
33024  ,26.25  ,-2.47
33273  ,26.00  ,-2.51
33522  ,26.50  ,-2.55
33771  ,26.00  ,-2.58
34021  ,26.00  ,-2.61
34270  ,26.25  ,-2.61
34520  ,26.25  ,-2.64
34768  ,26.00  ,-2.67
35018  ,26.75  ,-2.68
35267  ,26.00  ,-2.71
35517  ,25.75  ,-2.72
35766  ,26.25  ,-2.73
36016  ,26.50  ,-2.74
36264  ,26.25  ,-2.75
36513  ,26.00  ,-2.76
36765  ,25.75  ,-2.77
37015  ,26.00  ,-2.78
37264  ,26.50  ,-2.78
37513  ,26.00  ,-2.78
37763  ,25.75  ,-2.78
38011  ,25.75  ,-2.78
38264  ,26.00  ,-2.79
38513  ,26.25  ,-2.79
38763  ,26.00  ,-2.80
39012  ,26.00  ,-2.80
39261  ,26.00  ,-2.80
39511  ,26.50  ,-2.82
39759  ,26.25  ,-2.83
40009  ,26.50  ,-2.84
40258  ,26.25  ,-2.86
40508  ,26.25  ,-2.93
40757  ,25.75  ,-2.95
41007  ,25.75  ,-2.95
41255  ,26.00  ,-2.97
41504  ,26.00  ,-2.99
41754  ,26.00  ,-3.00
42003  ,26.50  ,-3.02
42253  ,26.25  ,-3.01
42502  ,26.00  ,-3.02
42752  ,26.25  ,-3.01
43000  ,25.75  ,-3.02
43250  ,26.25  ,-3.03
43499  ,25.75  ,-3.09
